"UniqID","GeneName","UniProtID","ENSG","Tissue","Log2_FC","CI_Upr","CI_Lwr","PVal","Cor_PVal"
"ZSWIM8|S4R410","ZSWIM8","S4R410","ENSG00000214655","DLPFC",0.0618499537542866,0.102880286868007,0.0208196206405666,0.00340954071414736,0.0319807664645077
"WDR1|O75083","WDR1","O75083","ENSG00000071127","DLPFC",0.0323793140075108,0.0538241876254702,0.0109344403895513,0.00333943959663786,0.0315244528089465
"PAIP2|Q9BPZ3","PAIP2","Q9BPZ3","ENSG00000120727","DLPFC",0.108254825498253,0.180294139249483,0.0362155117470225,0.00352120009301971,0.0327493894727371
"PLXNA1|Q9UIW2","PLXNA1","Q9UIW2","ENSG00000114554","DLPFC",-0.0678718321906075,-0.0228570710225948,-0.11288659335862,0.00338283157112675,0.0318999208156412
"RGS17|Q9UGC6","RGS17","Q9UGC6","ENSG00000091844","DLPFC",0.0623948733422061,0.103782872740086,0.0210068739443258,0.00338712338333929,0.0319062680244685
"KBTBD11|O94819","KBTBD11","O94819","ENSG00000176595","DLPFC",0.0298665494547653,0.0496824326448876,0.010050666264643,0.00339432288711868,0.0319068802990214
"NDUFC2|O95298","NDUFC2","O95298","ENSG00000151366","DLPFC",-0.0604115001649799,-0.0203256817632396,-0.10049731856672,0.00339753112939385,0.0319068802990214
"DDAH2|O95865","DDAH2","O95865","ENSG00000213722","DLPFC",0.06946921309898,0.115566003764014,0.0233724224339458,0.00339804475454021,0.0319068802990214
"BAIAP2|Q9UQB8-4","BAIAP2","Q9UQB8-4","ENSG00000175866","DLPFC",-0.0600388200720816,-0.0201787239416654,-0.0998989162024979,0.00341438737605101,0.0319921928742208
"SPG7|Q9UQ90","SPG7","Q9UQ90","ENSG00000197912","DLPFC",-0.0337947216494814,-0.0113230052948232,-0.0562664380041396,0.00346346716913184,0.0323954924910216
"FBLL1|R4GMW7","FBLL1","R4GMW7","ENSG00000188573","DLPFC",0.0548447526495103,0.0913149747239575,0.0183745305750632,0.00346477820336094,0.0323954924910216
"NDUFV1|G3V0I5","NDUFV1","G3V0I5","ENSG00000167792","DLPFC",-0.0557294431665197,-0.0186613500738119,-0.0927975362592276,0.00347294547704461,0.0324374579143033
"HSPA1B|P08107","HSPA1B","P08107","ENSG00000204388","DLPFC",0.0652454973237626,0.108669831177708,0.0218211634698174,0.00349244664492176,0.0325827687145507
"TBC1D13|Q9NVG8","TBC1D13","Q9NVG8","ENSG00000107021","DLPFC",-0.0412963814355513,-0.0138074666559557,-0.0687852962151469,0.00349690625726091,0.0325827687145507
"VPS41|P49754","VPS41","P49754","ENSG00000006715","DLPFC",0.0348254984934316,0.0580090280425542,0.0116419689443091,0.00349958965324708,0.0325827687145507
"CSNK2B|P67870","CSNK2B","P67870","ENSG00000204435","DLPFC",-0.0358791341569591,-0.0119575972819399,-0.0598006710319783,0.00354860630991385,0.032969506674932
"CSMD2|A0A087X0K4","CSMD2","A0A087X0K4","ENSG00000121904","DLPFC",-0.0355435804221308,-0.0118341917794069,-0.0592529690648548,0.00356435534984707,0.0330809695995806
"TIMP2|P16035","TIMP2","P16035","ENSG00000035862","DLPFC",0.0706913213093041,0.117882687270821,0.0234999553477877,0.00359344959356336,0.0332460074149509
"MTFP1|Q9UDX5","MTFP1","Q9UDX5","ENSG00000242114","DLPFC",-0.0824426348243603,-0.0272688727338435,-0.137616396914877,0.00369617748933676,0.0338765040784638
"NHP2|Q9NX24","NHP2","Q9NX24","ENSG00000145912","DLPFC",0.0483656043527893,0.0806531607181095,0.0160780479874691,0.0035897678686172,0.0332460074149509
"ADAM9|Q13443","ADAM9","Q13443","ENSG00000168615","DLPFC",-0.0327022537575249,-0.0108473598700172,-0.0545571476450326,0.00362517182290742,0.0334967762355101
"AOC3|Q16853","AOC3","Q16853","ENSG00000131471","DLPFC",-0.162631609449976,-0.0535604891669663,-0.271702729732985,0.0037696115063968,0.0343353973676659
"STX6|O43752","STX6","O43752","ENSG00000135823","DLPFC",0.0421901338813605,0.0703883537233337,0.0139919140393873,0.00362817254074967,0.0334967762355101
